Orthogroup	Ahalleri_v2.1.0.priTranscripts	Alyrata_v2.1.priTranscripts	Athaliana_Araport11.priTranscripts	Boleracea_capitata_v1.0.priTranscripts	Brapa_v1.3.priTranscripts
716	OG0000715	2	1	4	3	5
717	OG0000716	2	3	3	3	4
718	OG0000717	1	1	1	3	9
719	OG0000718	2	1	2	2	8
720	OG0000719	1	5	6	1	2
721	OG0000720	1	3	2	3	6
722	OG0000721	1	1	0	9	4
723	OG0000722	1	3	4	3	4
724	OG0000723	1	8	3	1	2
725	OG0000724	2	2	2	4	5
726	OG0000725	2	6	4	1	2
727	OG0000726	2	10	1	1	1
728	OG0000727	2	2	2	4	5
729	OG0000728	3	3	2	4	3
730	OG0000729	1	3	4	2	5
731	OG0000730	3	5	1	3	3
732	OG0000731	6	7	0	0	2
733	OG0000732	1	3	1	4	6
734	OG0000733	2	5	4	1	3
735	OG0000734	2	6	2	3	2
736	OG0000735	3	7	1	2	2
737	OG0000736	1	1	3	2	8
738	OG0000737	3	3	2	4	3
739	OG0000738	2	3	2	3	5
740	OG0000739	2	3	3	1	6
741	OG0000740	1	3	1	4	6
742	OG0000741	0	14	0	1	0
743	OG0000742	0	4	3	1	7
744	OG0000743	0	7	0	5	3
745	OG0000744	0	4	3	3	5
746	OG0000745	0	1	0	7	7
747	OG0000746	0	0	0	15	0
748	OG0000747	0	0	0	15	0
749	OG0000748	1	4	3	0	6
750	OG0000749	2	4	2	2	4
751	OG0000750	2	2	2	4	4
752	OG0000751	2	3	2	4	3
753	OG0000752	2	2	2	4	4
754	OG0000753	2	3	4	3	2
